               epoch,     first/mAP_0.5,     second/mAP_0.5,     third/mAP_0.5,first/mAP_0.5:0.95,second/mAP_0.5:0.95,third/mAP_0.5:0.95
0,0.44569,0.71752,0.414,0.20744,0.40601,0.19421
1,0.56978,0.71274,0.56018,0.24791,0.39885,0.23469
2,0.4907,0.68858,0.65785,0.21816,0.38249,0.32059
3,0.53786,0.63165,0.69374,0.25463,0.32625,0.35942
4,0.65332,0.65896,0.63117,0.31335,0.3558,0.31797
5,0.64294,0.69312,0.69728,0.31314,0.36927,0.37174
6,0.62775,0.65963,0.66644,0.31757,0.35941,0.3395
7,0.65203,0.6461,0.70332,0.31057,0.35984,0.36148
8,0.66444,0.64105,0.67317,0.31992,0.34871,0.35568
9,0.67918,0.65282,0.67628,0.35434,0.35488,0.36533
10,0.69632,0.66073,0.67111,0.37874,0.3726,0.38023
11,0.70233,0.66637,0.69396,0.35886,0.37484,0.37328
12,0.70261,0.70207,0.70968,0.37431,0.38832,0.3965
13,0.6725,0.63076,0.70483,0.3605,0.34634,0.38749
14,0.68531,0.6712,0.65721,0.36825,0.36566,0.36957
15,0.6643,0.6707,0.62826,0.35094,0.369,0.34759
16,0.68506,0.67625,0.69073,0.36612,0.36969,0.39158
17,0.70443,0.67098,0.71664,0.36424,0.37257,0.41366
18,0.68401,0.67354,0.69311,0.36392,0.37548,0.40458
19,0.69926,0.65282,0.66615,0.39382,0.35487,0.37874
20,0.7046,0.66239,0.68737,0.39936,0.37637,0.40091
21,0.69176,0.69058,0.71423,0.39127,0.38387,0.41816
22,0.70264,0.67658,0.69238,0.40122,0.37697,0.39661
23,0.67859,0.66743,0.67669,0.37832,0.36584,0.38475
24,0.70865,0.67276,0.68412,0.40034,0.3757,0.39732
25,0.69722,0.68968,0.68657,0.38671,0.37606,0.39446
26,0.69823,0.65134,0.65418,0.39096,0.35185,0.37983
27,0.69014,0.66692,0.70587,0.39101,0.37379,0.40864
28,0.69734,0.66665,0.67033,0.39214,0.35988,0.38525
29,0.68753,0.63761,0.67939,0.38635,0.34949,0.3914
30,0.70825,0.68311,0.69615,0.41304,0.37696,0.40212
31,0.69779,0.67093,0.67633,0.39622,0.37118,0.39752
32,0.68054,0.66797,0.67495,0.39515,0.36429,0.40187
33,0.68643,0.65036,0.66807,0.38493,0.35029,0.38528
34,0.68795,0.6721,0.66756,0.39276,0.3783,0.3923
35,0.68715,0.64039,0.63977,0.38875,0.35321,0.37722
36,0.69479,0.64743,0.65025,0.40202,0.35416,0.38666
37,0.69471,0.65607,0.65489,0.404,0.36853,0.38645
38,0.68592,0.5733,0.65002,0.3915,0.31796,0.38789
39,0.68513,0.65613,0.66449,0.40045,0.36203,0.39889
40,0.70864,0.67813,0.64361,0.40364,0.37265,0.39522
41,0.69338,0.66925,0.66767,0.39984,0.37269,0.40258
42,0.68713,0.63996,0.66376,0.39871,0.36376,0.40095
43,0.69411,0.66247,0.62904,0.40372,0.36997,0.38485
44,0.69224,0.66615,0.64179,0.40375,0.37042,0.39145
45,0.68452,0.67609,0.65857,0.39906,0.37609,0.39784
46,0.69771,0.68196,0.65904,0.40671,0.37622,0.40052
47,0.69524,0.67902,0.648,0.40688,0.37911,0.39813
48,0.68916,0.6784,0.63929,0.40344,0.37029,0.39075
49,0.67913,0.66179,0.64148,0.39671,0.36803,0.39438
50,,0.68171,,,0.3741,
51,,0.656,,,0.36816,
52,,0.6443,,,0.37233,
53,,0.63875,,,0.35918,
54,,0.65049,,,0.36214,
55,,0.63986,,,0.35745,
56,,0.66263,,,0.37151,
57,,0.63987,,,0.34832,
58,,0.64254,,,0.36359,
59,,0.62783,,,0.35695,
60,,0.63839,,,0.36301,
61,,0.64359,,,0.37486,
62,,0.64659,,,0.36316,
63,,0.67284,,,0.37787,
64,,0.66159,,,0.37047,
65,,0.64553,,,0.36468,
66,,0.63678,,,0.35767,
67,,0.65669,,,0.37066,
68,,0.66357,,,0.36835,
69,,0.64295,,,0.36786,
70,,0.6394,,,0.3581,
71,,0.63961,,,0.36627,
72,,0.64626,,,0.3618,
73,,0.65077,,,0.36677,
74,,0.61668,,,0.34803,
75,,0.65253,,,0.36494,
76,,0.65325,,,0.37025,
77,,0.64127,,,0.3593,
78,,0.65089,,,0.37245,
79,,0.64157,,,0.36947,
80,,0.6392,,,0.35985,
81,,0.63595,,,0.36685,
82,,0.63821,,,0.35364,
83,,0.6363,,,0.35858,
84,,0.67516,,,0.37501,
85,,0.62777,,,0.35223,
86,,0.63639,,,0.36186,
87,,0.64179,,,0.36246,
88,,0.6573,,,0.36357,
89,,0.65138,,,0.36391,
90,,0.61749,,,0.34664,
91,,0.62735,,,0.35166,
92,,0.65429,,,0.36408,
93,,0.64072,,,0.35598,
94,,0.63309,,,0.35473,
95,,0.63775,,,0.36291,
96,,0.63733,,,0.36076,
97,,0.62552,,,0.35256,
98,,0.63991,,,0.36454,
99,,0.65545,,,0.36916,
100,,0.63495,,,0.35617,
