               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.024462,            0.012255,           0.0012372,              0.8231,             0.64928,             0.71752,             0.40601,            0.039907,            0.028326,            0.010832,            0.070088,           0.0033235,           0.0033235
                   1,            0.025226,            0.012123,           0.0011768,             0.82783,             0.65441,             0.71274,             0.39885,            0.040039,             0.02842,            0.010553,            0.040075,           0.0066437,           0.0066437
                   2,            0.027601,            0.012326,           0.0012274,             0.80106,             0.62221,             0.68858,             0.38249,            0.040568,            0.028286,            0.012233,            0.010049,           0.0099506,           0.0099506
                   3,            0.030359,            0.013653,           0.0019902,             0.75306,             0.59375,             0.63165,             0.32625,             0.04281,            0.027802,            0.013336,           0.0099406,           0.0099406,           0.0099406
                   4,            0.030147,            0.013732,           0.0020191,             0.78622,             0.59686,             0.65896,              0.3558,            0.043149,            0.027446,            0.010675,           0.0099406,           0.0099406,           0.0099406
                   5,             0.03039,            0.013541,           0.0024704,              0.7681,             0.65081,             0.69312,             0.36927,            0.042092,            0.026759,           0.0077844,           0.0099208,           0.0099208,           0.0099208
                   6,            0.030718,            0.013726,           0.0028132,             0.74825,             0.63215,             0.65963,             0.35941,             0.04239,            0.027621,             0.01062,            0.009901,            0.009901,            0.009901
                   7,            0.030553,            0.013885,           0.0022272,             0.76378,              0.5936,              0.6461,             0.35984,             0.04136,            0.027892,            0.013958,           0.0098812,           0.0098812,           0.0098812
                   8,            0.030085,            0.013729,           0.0022287,             0.75021,             0.59805,             0.64105,             0.34871,            0.041547,            0.029561,            0.014976,           0.0098614,           0.0098614,           0.0098614
                   9,            0.029323,            0.013569,           0.0023572,             0.74314,             0.62269,             0.65282,             0.35488,            0.041189,            0.028239,            0.013365,           0.0098416,           0.0098416,           0.0098416
                  10,            0.029693,            0.013479,           0.0024096,             0.77114,             0.59967,             0.66073,              0.3726,            0.042312,            0.030439,            0.018128,           0.0098218,           0.0098218,           0.0098218
                  11,            0.029112,            0.013091,           0.0020638,             0.77532,              0.5947,             0.66637,             0.37484,             0.04079,            0.029776,            0.012396,            0.009802,            0.009802,            0.009802
                  12,            0.029152,            0.013293,           0.0016484,             0.80653,             0.64985,             0.70207,             0.38832,            0.041221,            0.027685,            0.011972,           0.0097822,           0.0097822,           0.0097822
                  13,            0.029128,            0.013258,           0.0022179,             0.75461,             0.58707,             0.63076,             0.34634,            0.042869,            0.030035,            0.017129,           0.0097624,           0.0097624,           0.0097624
                  14,            0.028675,            0.013239,           0.0019397,             0.78779,             0.63178,              0.6712,             0.36566,            0.041465,            0.028463,            0.019785,           0.0097426,           0.0097426,           0.0097426
                  15,            0.028402,            0.012921,           0.0016055,             0.78673,             0.61709,              0.6707,               0.369,            0.039353,            0.029552,            0.018284,           0.0097228,           0.0097228,           0.0097228
                  16,            0.028754,            0.013325,           0.0021223,             0.82146,             0.60352,             0.67625,             0.36969,            0.040348,            0.029622,             0.01393,            0.009703,            0.009703,            0.009703
                  17,             0.02781,            0.013113,           0.0018721,             0.80101,             0.60628,             0.67098,             0.37257,             0.04009,            0.029565,            0.012605,           0.0096832,           0.0096832,           0.0096832
                  18,            0.028089,            0.012746,           0.0016567,             0.81417,             0.59751,             0.67354,             0.37548,            0.041282,            0.027749,             0.01127,           0.0096634,           0.0096634,           0.0096634
                  19,            0.028172,            0.013004,           0.0018603,             0.76409,             0.62441,             0.65282,             0.35487,            0.041941,            0.028951,            0.020067,           0.0096436,           0.0096436,           0.0096436
