               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.067564,            0.026926,            0.019237,             0.83207,             0.29215,               0.414,             0.19421,            0.048719,            0.022085,            0.013812,            0.070066,            0.003326,            0.003326
                   1,            0.048891,            0.017619,           0.0081723,             0.59883,             0.57252,             0.56018,             0.23469,            0.050537,            0.020665,            0.011529,            0.039934,           0.0065275,           0.0065275
                   2,            0.044237,            0.015534,           0.0053728,             0.67117,             0.64091,             0.65785,             0.32059,            0.045328,            0.022299,            0.011244,           0.0096704,           0.0095969,           0.0095969
                   3,            0.040595,            0.015516,            0.005378,              0.7708,             0.62398,             0.69374,             0.35942,            0.041991,            0.024898,            0.012012,            0.009406,            0.009406,            0.009406
                   4,            0.037971,            0.015034,           0.0044131,             0.72822,             0.65583,             0.63117,             0.31797,            0.045138,            0.024194,            0.011096,            0.009406,            0.009406,            0.009406
                   5,            0.036079,            0.014489,           0.0040153,             0.78357,             0.64773,             0.69728,             0.37174,            0.044494,            0.023472,            0.016942,            0.009208,            0.009208,            0.009208
                   6,            0.034167,            0.014515,            0.004576,             0.75884,             0.61887,             0.66644,              0.3395,            0.044935,              0.0234,            0.016501,             0.00901,             0.00901,             0.00901
                   7,            0.034018,            0.015388,           0.0044674,             0.80582,             0.65124,             0.70332,             0.36148,            0.044538,            0.022803,            0.015205,            0.008812,            0.008812,            0.008812
                   8,            0.033637,            0.014379,           0.0038741,             0.75086,             0.59242,             0.67317,             0.35568,            0.043602,            0.025577,            0.014258,            0.008614,            0.008614,            0.008614
                   9,            0.032232,            0.014426,           0.0032896,              0.7776,             0.62199,             0.67628,             0.36533,            0.041656,            0.025301,            0.017269,            0.008416,            0.008416,            0.008416
                  10,            0.031297,            0.014078,            0.003347,             0.77306,             0.63442,             0.67111,             0.38023,            0.040985,            0.027229,            0.015966,            0.008218,            0.008218,            0.008218
                  11,             0.03052,            0.013781,           0.0032684,             0.78819,             0.65576,             0.69396,             0.37328,            0.043499,             0.02598,            0.014856,             0.00802,             0.00802,             0.00802
                  12,            0.030292,            0.014035,           0.0023412,             0.81815,              0.6599,             0.70968,              0.3965,            0.043451,             0.02668,             0.02136,            0.007822,            0.007822,            0.007822
                  13,            0.029878,            0.013589,           0.0026946,             0.80344,             0.65669,             0.70483,             0.38749,             0.04441,            0.025076,            0.017951,            0.007624,            0.007624,            0.007624
                  14,            0.028487,            0.013351,            0.002185,             0.76124,             0.61917,             0.65721,             0.36957,            0.041197,            0.026343,            0.017467,            0.007426,            0.007426,            0.007426
                  15,            0.028233,            0.013324,           0.0021594,             0.74466,             0.59257,             0.62826,             0.34759,             0.04291,            0.027475,            0.025384,            0.007228,            0.007228,            0.007228
                  16,             0.02833,            0.013305,           0.0019792,             0.78868,             0.63389,             0.69073,             0.39158,            0.042994,            0.026791,            0.016412,             0.00703,             0.00703,             0.00703
                  17,            0.027497,            0.012999,           0.0018951,             0.80159,             0.66563,             0.71664,             0.41366,            0.042385,            0.025111,             0.01817,            0.006832,            0.006832,            0.006832
                  18,            0.026232,            0.012209,           0.0017573,             0.80786,              0.6368,             0.69311,             0.40458,            0.042649,            0.027032,            0.020201,            0.006634,            0.006634,            0.006634
                  19,            0.026632,            0.012324,           0.0020359,             0.78782,             0.61997,             0.66615,             0.37874,            0.042845,            0.025835,            0.025252,            0.006436,            0.006436,            0.006436
                  20,            0.025646,            0.012571,            0.001425,             0.79037,             0.64239,             0.68737,             0.40091,            0.041754,            0.027943,             0.01966,            0.006238,            0.006238,            0.006238
