               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.049289,            0.020697,             0.01194,             0.45186,             0.49768,             0.44569,             0.20744,            0.049277,            0.022991,            0.014079,            0.070089,           0.0033234,           0.0033234
                   1,            0.050328,            0.017481,           0.0073236,             0.59878,             0.55939,             0.56978,             0.24791,            0.045681,            0.023569,            0.011146,            0.039957,            0.006525,            0.006525
                   2,            0.047966,            0.016819,           0.0065721,             0.58084,             0.55568,              0.4907,             0.21816,            0.046977,            0.023284,            0.017551,           0.0096934,           0.0095945,           0.0095945
                   3,            0.044361,            0.016497,           0.0056856,             0.61155,             0.53174,             0.53786,             0.25463,            0.046305,            0.023921,            0.011083,            0.009406,            0.009406,            0.009406
                   4,            0.041416,            0.016155,           0.0053374,              0.6856,             0.60008,             0.65332,             0.31335,            0.044636,            0.023823,            0.012392,            0.009406,            0.009406,            0.009406
                   5,            0.039828,            0.016179,           0.0058761,             0.72415,             0.56006,             0.64294,             0.31314,            0.044137,            0.025231,            0.012664,            0.009208,            0.009208,            0.009208
                   6,             0.03838,            0.015952,           0.0047924,             0.67432,             0.56924,             0.62775,             0.31757,            0.045983,            0.025095,             0.01238,             0.00901,             0.00901,             0.00901
                   7,            0.036973,            0.015875,           0.0044268,              0.7594,             0.60511,             0.65203,             0.31057,            0.045076,            0.025661,            0.014504,            0.008812,            0.008812,            0.008812
                   8,            0.036278,            0.015952,           0.0048463,             0.72709,             0.62774,             0.66444,             0.31992,            0.044801,            0.025619,            0.011774,            0.008614,            0.008614,            0.008614
                   9,             0.03499,            0.015475,           0.0041905,             0.75444,             0.61102,             0.67918,             0.35434,            0.042978,            0.027348,            0.010428,            0.008416,            0.008416,            0.008416
                  10,            0.034976,            0.015371,           0.0041737,             0.75885,             0.65745,             0.69632,             0.37874,            0.042555,            0.024787,            0.012527,            0.008218,            0.008218,            0.008218
                  11,             0.03356,            0.015102,           0.0039199,             0.80871,             0.64159,             0.70233,             0.35886,            0.040305,            0.025659,           0.0099786,             0.00802,             0.00802,             0.00802
                  12,            0.033212,            0.014936,           0.0030393,             0.78832,             0.64541,             0.70261,             0.37431,            0.041578,            0.025877,            0.010767,            0.007822,            0.007822,            0.007822
                  13,            0.032325,            0.014238,           0.0032115,             0.78536,              0.6126,              0.6725,              0.3605,            0.040818,            0.026919,            0.013844,            0.007624,            0.007624,            0.007624
                  14,            0.032128,            0.014681,           0.0030474,             0.78011,              0.6181,             0.68531,             0.36825,             0.04127,            0.027091,           0.0069905,            0.007426,            0.007426,            0.007426
                  15,            0.031662,             0.01429,           0.0030697,             0.78568,             0.62396,              0.6643,             0.35094,            0.039882,            0.027982,           0.0081125,            0.007228,            0.007228,            0.007228
                  16,            0.031336,            0.014517,           0.0027968,             0.79421,              0.6484,             0.68506,             0.36612,            0.040945,            0.028015,            0.010899,             0.00703,             0.00703,             0.00703
                  17,            0.030889,            0.014462,           0.0024957,             0.76979,             0.65773,             0.70443,             0.36424,            0.043335,            0.026895,            0.011256,            0.006832,            0.006832,            0.006832
                  18,            0.030246,            0.013741,            0.002521,             0.79824,             0.61537,             0.68401,             0.36392,            0.040917,            0.027955,            0.010977,            0.006634,            0.006634,            0.006634
                  19,            0.030094,            0.013459,           0.0025139,             0.80933,             0.63618,             0.69926,             0.39382,            0.041659,            0.026991,             0.01609,            0.006436,            0.006436,            0.006436
                  20,            0.029181,            0.013861,           0.0019982,             0.80175,             0.63653,              0.7046,             0.39936,            0.040314,            0.027554,            0.011558,            0.006238,            0.006238,            0.006238
                  21,            0.028667,            0.013173,             0.00203,             0.81067,             0.63059,             0.69176,             0.39127,            0.040738,            0.028302,            0.016396,             0.00604,             0.00604,             0.00604
                  22,              0.0285,            0.013131,           0.0016036,             0.81663,             0.62377,             0.70264,             0.40122,             0.04103,            0.028176,            0.014223,            0.005842,            0.005842,            0.005842
                  23,            0.027821,            0.012898,           0.0019668,             0.80581,             0.61299,             0.67859,             0.37832,            0.040218,             0.02847,            0.015746,            0.005644,            0.005644,            0.005644
                  24,            0.027937,            0.013172,           0.0015794,             0.79909,             0.63741,             0.70865,             0.40034,            0.040254,            0.027615,            0.014472,            0.005446,            0.005446,            0.005446
                  25,            0.027828,            0.012896,           0.0014762,             0.82371,             0.63774,             0.69722,             0.38671,            0.041095,            0.027782,            0.011122,            0.005248,            0.005248,            0.005248
                  26,            0.026907,            0.012679,           0.0012752,              0.8019,             0.64785,             0.69823,             0.39096,            0.040543,            0.028267,            0.011329,             0.00505,             0.00505,             0.00505
                  27,            0.026409,            0.012333,           0.0013673,             0.79126,             0.61472,             0.69014,             0.39101,            0.040848,            0.028651,            0.014787,            0.004852,            0.004852,            0.004852
                  28,            0.026458,            0.012322,           0.0017897,             0.78726,             0.63109,             0.69734,             0.39214,            0.039642,            0.027753,            0.011134,            0.004654,            0.004654,            0.004654
                  29,            0.026181,            0.012206,           0.0015788,             0.79614,             0.64139,             0.68753,             0.38635,            0.039567,            0.027952,            0.011374,            0.004456,            0.004456,            0.004456
                  30,             0.02604,             0.01245,           0.0013722,             0.81023,             0.65216,             0.70825,             0.41304,            0.039385,            0.028233,            0.011994,            0.004258,            0.004258,            0.004258
                  31,            0.025403,            0.012159,           0.0012836,             0.81182,              0.6362,             0.69779,             0.39622,            0.039063,            0.029541,            0.011595,             0.00406,             0.00406,             0.00406
                  32,            0.024902,            0.011668,            0.001252,             0.81437,             0.61627,             0.68054,             0.39515,             0.03876,            0.029811,            0.010168,            0.003862,            0.003862,            0.003862
                  33,             0.02517,            0.011583,            0.001146,             0.81928,             0.62606,             0.68643,             0.38493,            0.039029,            0.029774,            0.012131,            0.003664,            0.003664,            0.003664
                  34,            0.025022,            0.011775,           0.0012079,             0.80247,             0.60626,             0.68795,             0.39276,             0.03864,            0.030915,            0.010554,            0.003466,            0.003466,            0.003466
                  35,            0.024016,            0.011525,           0.0011744,             0.80547,             0.62969,             0.68715,             0.38875,            0.039665,            0.029739,             0.01263,            0.003268,            0.003268,            0.003268
                  36,            0.023997,            0.011692,          0.00097749,             0.82403,             0.61725,             0.69479,             0.40202,            0.039622,            0.030244,            0.010702,             0.00307,             0.00307,             0.00307
                  37,            0.023732,            0.011439,          0.00094647,              0.8151,             0.62355,             0.69471,               0.404,            0.039199,            0.030622,            0.011623,            0.002872,            0.002872,            0.002872
                  38,            0.022952,            0.011087,           0.0010623,             0.80777,             0.63014,             0.68592,              0.3915,            0.038789,            0.030502,            0.011461,            0.002674,            0.002674,            0.002674
                  39,            0.023775,            0.011318,          0.00097318,             0.80883,             0.61065,             0.68513,             0.40045,            0.038838,            0.031169,            0.010924,            0.002476,            0.002476,            0.002476
                  40,            0.023026,             0.01104,          0.00059929,             0.83139,             0.64386,             0.70864,             0.40364,            0.039529,            0.030008,            0.010895,            0.002278,            0.002278,            0.002278
                  41,            0.022226,            0.011185,          0.00069524,             0.82622,             0.63101,             0.69338,             0.39984,            0.038881,            0.030929,            0.010261,             0.00208,             0.00208,             0.00208
                  42,            0.022196,            0.010803,          0.00066432,             0.82715,             0.62038,             0.68713,             0.39871,            0.038735,            0.031582,           0.0096151,            0.001882,            0.001882,            0.001882
                  43,            0.022391,            0.010836,          0.00065532,             0.83624,             0.61616,             0.69411,             0.40372,            0.039071,            0.030967,            0.009702,            0.001684,            0.001684,            0.001684
                  44,            0.021885,            0.010906,          0.00060303,             0.83071,             0.62123,             0.69224,             0.40375,            0.038952,            0.030947,           0.0095701,            0.001486,            0.001486,            0.001486
                  45,            0.021505,             0.01044,          0.00071644,             0.81817,             0.61505,             0.68452,             0.39906,            0.038292,            0.031781,           0.0095773,            0.001288,            0.001288,            0.001288
                  46,            0.021402,            0.010428,          0.00053527,             0.82725,             0.63941,             0.69771,             0.40671,             0.03832,            0.031213,             0.00967,             0.00109,             0.00109,             0.00109
                  47,            0.020818,            0.010271,          0.00067884,             0.84814,             0.61182,             0.69524,             0.40688,            0.038826,            0.031599,           0.0085645,            0.000892,            0.000892,            0.000892
                  48,            0.020775,             0.01012,          0.00044915,             0.84555,             0.60834,             0.68916,             0.40344,            0.038889,            0.031853,           0.0089726,            0.000694,            0.000694,            0.000694
                  49,            0.020564,            0.010094,          0.00060684,              0.8346,              0.6141,             0.67913,             0.39671,            0.039001,            0.031623,           0.0099686,            0.000496,            0.000496,            0.000496
