agent_type,episode,cumulative_reward,demand_mean,demand_std,timestamp,disruption_start,disruption_duration
ewa_pd70_pf10,3001,6.794576621081481,3.99,1.9773467070799697,2025-07-30T06:17:04.817940,38,2
ewa_pd70_pf10,3002,6.928260628980385,4.13,1.9113084523435773,2025-07-30T06:17:05.841086,77,3
ewa_pd70_pf10,3003,6.600304970427866,3.92,1.8637596411554789,2025-07-30T06:17:06.859696,19,2
ewa_pd70_pf10,3004,6.606363988567059,3.75,1.835074930350257,2025-07-30T06:17:07.863599,71,3
ewa_pd70_pf10,3005,7.8810211275814845,4.22,1.7004705231199984,2025-07-30T06:17:08.865690,40,3
ewa_pd70_pf10,3006,7.466596917326612,3.93,1.692660627532879,2025-07-30T06:17:09.881680,21,2
ewa_pd70_pf10,3007,7.1189486625017375,3.8,1.6911534525287761,2025-07-30T06:17:10.883696,59,3
ewa_pd70_pf10,3008,7.290419695220454,3.94,1.9173940648703387,2025-07-30T06:17:11.889605,44,1
ewa_pd70_pf10,3009,7.752343228330895,4.05,1.8131464364468743,2025-07-30T06:17:12.909179,44,3
ewa_pd70_pf10,3010,6.978735249517442,3.96,1.7939899665271264,2025-07-30T06:17:13.912702,12,2
ewa_pd70_pf10,3011,7.492644317961541,4.29,1.9094239969163476,2025-07-30T06:17:14.924315,60,1
ewa_pd70_pf10,3012,6.336559729001005,3.93,1.7335224255832402,2025-07-30T06:17:15.934051,59,2
ewa_pd70_pf10,3013,7.482819339959264,4.43,1.8452913049163806,2025-07-30T06:17:16.956561,58,2
ewa_pd70_pf10,3014,6.809031080310687,4.08,1.8037738217415176,2025-07-30T06:17:17.967978,21,3
ewa_pd70_pf10,3015,7.294434533617354,4.3,1.9313207915827966,2025-07-30T06:17:19.094988,25,3
ewa_pd70_pf10,3016,7.168467107292187,4.28,1.8712562625145708,2025-07-30T06:17:20.113534,41,1
ewa_pd70_pf10,3017,8.277201428105604,4.28,1.7837040113202638,2025-07-30T06:17:21.102620,41,3
ewa_pd70_pf10,3018,6.986047286230612,4.04,1.7771887913218447,2025-07-30T06:17:22.056070,32,2
ewa_pd70_pf10,3019,6.525077317503201,3.84,1.8260339536821324,2025-07-30T06:17:23.071870,19,1
ewa_pd70_pf10,3020,5.228483023031659,4.12,1.9353552645444714,2025-07-30T06:17:24.079450,73,1
ewa_pd70_pf10,3021,7.17213934240554,4.17,1.8223885425451953,2025-07-30T06:17:25.092753,11,3
ewa_pd70_pf10,3022,7.219819046455198,4.07,1.6688618876348036,2025-07-30T06:17:26.089475,55,1
ewa_pd70_pf10,3023,7.884792894545241,3.86,1.673439571660716,2025-07-30T06:17:27.087742,35,1
ewa_pd70_pf10,3024,6.872818636786889,3.99,1.7175272923595715,2025-07-30T06:17:28.078138,46,3
ewa_pd70_pf10,3025,7.234860356654228,4.24,1.6620469307453387,2025-07-30T06:17:29.094528,77,3
ewa_pd70_pf10,3026,7.409582323476377,3.81,1.8204120412697775,2025-07-30T06:17:30.109425,20,3
ewa_pd70_pf10,3027,8.008993661882236,4.12,1.7959955456514918,2025-07-30T06:17:31.121178,60,1
ewa_pd70_pf10,3028,7.8011156605223935,4.31,1.958034729007634,2025-07-30T06:17:32.117095,24,2
ewa_pd70_pf10,3029,6.581812713346402,4.31,1.8368179006096386,2025-07-30T06:17:33.123580,25,2
ewa_pd70_pf10,3030,7.079936152151598,4.21,1.9457389341841314,2025-07-30T06:17:34.140068,52,2
ewa_pd70_pf10,3031,7.4209919354115215,4.03,1.8625520126965582,2025-07-30T06:17:35.151323,72,1
ewa_pd70_pf10,3032,8.039500848620472,4.25,1.7226433176952214,2025-07-30T06:17:36.162913,56,3
ewa_pd70_pf10,3033,9.309609198685292,4.02,1.6910351859142376,2025-07-30T06:17:37.172795,72,2
ewa_pd70_pf10,3034,7.105709595014318,4.22,1.8685823503394223,2025-07-30T06:17:38.183532,18,1
ewa_pd70_pf10,3035,8.294974950652268,4.32,1.8808508712813994,2025-07-30T06:17:39.188487,63,3
ewa_pd70_pf10,3036,7.429428918525425,4.05,1.82414363469547,2025-07-30T06:17:40.199277,19,3
ewa_pd70_pf10,3037,7.26320376883251,4.18,1.7909773867919159,2025-07-30T06:17:41.204803,38,1
ewa_pd70_pf10,3038,7.3425609091286725,3.84,1.6776173580408615,2025-07-30T06:17:42.209985,78,1
ewa_pd70_pf10,3039,6.164888090727693,3.94,1.9381434415439946,2025-07-30T06:17:43.220745,62,1
ewa_pd70_pf10,3040,6.677771855250391,4.25,1.9410048943781673,2025-07-30T06:17:44.220046,64,3
ewa_pd70_pf10,3041,7.356533031225239,4.32,1.8048822676285565,2025-07-30T06:17:45.228068,11,1
ewa_pd70_pf10,3042,6.053493764002052,3.97,1.992260023189744,2025-07-30T06:17:46.242693,39,2
ewa_pd70_pf10,3043,8.157635394526345,4.48,1.6581917862539302,2025-07-30T06:17:47.253646,65,3
ewa_pd70_pf10,3044,8.205122397442222,3.91,1.817113094994365,2025-07-30T06:17:48.256853,47,1
ewa_pd70_pf10,3045,7.101908703994683,3.94,1.7252246230563717,2025-07-30T06:17:49.265256,76,2
ewa_pd70_pf10,3046,7.445163896959824,4.14,1.6971741218861431,2025-07-30T06:17:50.266694,11,3
ewa_pd70_pf10,3047,7.005075094002198,3.96,1.7545369759569047,2025-07-30T06:17:51.261857,39,3
